epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1545.29,1.57475,2.17034,1.19965,0.72704,0.577,0.63966,0.29497,1.72264,1.6653,1.28311,0.000664683,0.000664683,0.000664683
2,3255.61,1.69412,1.43723,1.2568,0.70385,0.62596,0.63257,0.28659,1.69704,1.37011,1.25233,0.00130499,0.00130499,0.00130499
3,4798.7,1.67055,1.29774,1.25227,0.76941,0.65754,0.6875,0.3014,1.66955,1.14664,1.2222,0.00191889,0.00191889,0.00191889
4,6338.97,1.64962,1.19278,1.22489,0.76654,0.59671,0.6727,0.32499,1.63566,1.29081,1.22951,0.0018812,0.0018812,0.0018812
5,7878.77,1.60626,1.12793,1.20933,0.77937,0.69587,0.74364,0.36417,1.54549,1.08028,1.19812,0.0018416,0.0018416,0.0018416
6,9421.81,1.5916,1.09255,1.20713,0.82223,0.72101,0.77457,0.38967,1.53561,0.98373,1.18341,0.001802,0.001802,0.001802
7,10972.3,1.55732,1.0617,1.18989,0.83092,0.7398,0.79453,0.40137,1.5167,0.94312,1.16346,0.0017624,0.0017624,0.0017624
8,13033.1,1.53426,1.00719,1.19208,0.81838,0.74058,0.79025,0.39652,1.52799,0.95052,1.16869,0.0017228,0.0017228,0.0017228
9,14574,1.51687,1.00745,1.18015,0.84053,0.73574,0.80802,0.42251,1.48435,0.88718,1.15098,0.0016832,0.0016832,0.0016832
10,16116.5,1.50214,0.95949,1.16785,0.84353,0.7683,0.81508,0.41787,1.46868,0.87118,1.13721,0.0016436,0.0016436,0.0016436
11,17657,1.50545,0.9603,1.17047,0.80899,0.73115,0.78321,0.41155,1.48934,0.90792,1.14867,0.001604,0.001604,0.001604
12,19198.1,1.48145,0.92793,1.16301,0.84242,0.78018,0.82844,0.44377,1.41842,0.83659,1.11844,0.0015644,0.0015644,0.0015644
13,20737.8,1.48499,0.92478,1.15985,0.82955,0.77038,0.82617,0.43826,1.44098,0.86497,1.13644,0.0015248,0.0015248,0.0015248
14,22277.1,1.4576,0.89935,1.15099,0.84397,0.74536,0.81187,0.43211,1.41986,0.83627,1.13145,0.0014852,0.0014852,0.0014852
15,23816.1,1.44533,0.88428,1.14485,0.83413,0.77369,0.82323,0.44084,1.41815,0.83062,1.13864,0.0014456,0.0014456,0.0014456
16,25354,1.44688,0.86699,1.15709,0.84239,0.77802,0.83448,0.44498,1.40929,0.83335,1.10903,0.001406,0.001406,0.001406
17,26892.3,1.43942,0.86518,1.14113,0.83097,0.78136,0.82662,0.44408,1.41069,0.80652,1.12969,0.0013664,0.0013664,0.0013664
18,28433,1.43258,0.85912,1.13322,0.85526,0.78388,0.84118,0.45271,1.41735,0.78225,1.12151,0.0013268,0.0013268,0.0013268
19,29971.7,1.41918,0.83426,1.12619,0.85431,0.80196,0.85083,0.45998,1.38086,0.76219,1.10097,0.0012872,0.0012872,0.0012872
20,31510.9,1.42803,0.83166,1.13804,0.85349,0.80718,0.8527,0.46747,1.40322,0.73909,1.10779,0.0012476,0.0012476,0.0012476
21,33050.3,1.39425,0.8114,1.13042,0.86695,0.80078,0.8582,0.46923,1.36461,0.73243,1.09219,0.001208,0.001208,0.001208
22,34588.8,1.408,0.79374,1.12833,0.84947,0.8096,0.85348,0.47049,1.37027,0.73447,1.09824,0.0011684,0.0011684,0.0011684
23,36128,1.38671,0.79641,1.11571,0.86054,0.80833,0.86506,0.46991,1.39355,0.72625,1.09025,0.0011288,0.0011288,0.0011288
24,37667.7,1.38718,0.79914,1.12421,0.86188,0.81378,0.86362,0.4758,1.36944,0.71345,1.09569,0.0010892,0.0010892,0.0010892
25,39207.6,1.37889,0.78342,1.1185,0.86227,0.8096,0.86275,0.47856,1.35953,0.72536,1.08486,0.0010496,0.0010496,0.0010496
26,40747,1.37324,0.78449,1.11163,0.8472,0.82157,0.86213,0.47919,1.35011,0.72002,1.08319,0.00101,0.00101,0.00101
27,42288.4,1.37363,0.78307,1.11809,0.85942,0.82285,0.86392,0.47771,1.35974,0.69356,1.09744,0.0009704,0.0009704,0.0009704
28,43828.4,1.34458,0.75446,1.10494,0.86089,0.82081,0.86567,0.48512,1.32925,0.69333,1.07409,0.0009308,0.0009308,0.0009308
29,45373.3,1.36569,0.76084,1.10928,0.85924,0.81966,0.87016,0.48916,1.33051,0.68778,1.08098,0.0008912,0.0008912,0.0008912
30,48984.5,1.33951,0.74788,1.10325,0.85698,0.83332,0.87743,0.49931,1.30765,0.67038,1.068,0.0008516,0.0008516,0.0008516
